,C1,C1_NM,C1_NM_ENG,C1_OBJ_NM,C1_OBJ_NM_ENG,C2,C2_NM,C2_NM_ENG,C2_OBJ_NM,C2_OBJ_NM_ENG,C3,C3_NM,C3_NM_ENG,C3_OBJ_NM,C3_OBJ_NM_ENG,DT,ITM_ID,ITM_NM,ITM_NM_ENG,ORG_ID,PRD_DE,PRD_SE,TBL_ID,TBL_NM,UNIT_NM,UNIT_NM_ENG
79,01,아파트,Apartments,주택유형,Region,a22,6대광역시,6 Large Cities,지역,Region,05,연령5,Age5,건축연령,Region,98.12300471,sales,매매가격,Sales Price Index,408,201903,M,DT_40803_N0005,연령별 매매가격지수,2017.11 ＝ 100.0,2017.11 ＝ 100.0
80,01,아파트,Apartments,주택유형,Region,a23,9개도,9 Provinces,지역,Region,01,연령1,Age1,건축연령,Region,99.76276907,sales,매매가격,Sales Price Index,408,201903,M,DT_40803_N0005,연령별 매매가격지수,2017.11 ＝ 100.0,2017.11 ＝ 100.0
81,01,아파트,Apartments,주택유형,Region,a23,9개도,9 Provinces,지역,Region,02,연령2,Age2,건축연령,Region,98.59440355,sales,매매가격,Sales Price Index,408,201903,M,DT_40803_N0005,연령별 매매가격지수,2017.11 ＝ 100.0,2017.11 ＝ 100.0
82,01,아파트,Apartments,주택유형,Region,a23,9개도,9 Provinces,지역,Region,03,연령3,Age3,건축연령,Region,97.14368817,sales,매매가격,Sales Price Index,408,201903,M,DT_40803_N0005,연령별 매매가격지수,2017.11 ＝ 100.0,2017.11 ＝ 100.0
83,01,아파트,Apartments,주택유형,Region,a23,9개도,9 Provinces,지역,Region,04,연령4,Age4,건축연령,Region,95.8010365,sales,매매가격,Sales Price Index,408,201903,M,DT_40803_N0005,연령별 매매가격지수,2017.11 ＝ 100.0,2017.11 ＝ 100.0
84,01,아파트,Apartments,주택유형,Region,a23,9개도,9 Provinces,지역,Region,05,연령5,Age5,건축연령,Region,96.70433055,sales,매매가격,Sales Price Index,408,201903,M,DT_40803_N0005,연령별 매매가격지수,2017.11 ＝ 100.0,2017.11 ＝ 100.0
85,01,아파트,Apartments,주택유형,Region,a3,5대광역시,5 Large Cities,지역,Region,01,연령1,Age1,건축연령,Region,100.5766525,sales,매매가격,Sales Price Index,408,201903,M,DT_40803_N0005,연령별 매매가격지수,2017.11 ＝ 100.0,2017.11 ＝ 100.0
86,01,아파트,Apartments,주택유형,Region,a3,5대광역시,5 Large Cities,지역,Region,02,연령2,Age2,건축연령,Region,101.8490941,sales,매매가격,Sales Price Index,408,201903,M,DT_40803_N0005,연령별 매매가격지수,2017.11 ＝ 100.0,2017.11 ＝ 100.0
87,01,아파트,Apartments,주택유형,Region,a3,5대광역시,5 Large Cities,지역,Region,03,연령3,Age3,건축연령,Region,98.82890955,sales,매매가격,Sales Price Index,408,201903,M,DT_40803_N0005,연령별 매매가격지수,2017.11 ＝ 100.0,2017.11 ＝ 100.0
88,01,아파트,Apartments,주택유형,Region,a3,5대광역시,5 Large Cities,지역,Region,04,연령4,Age4,건축연령,Region,98.06836893,sales,매매가격,Sales Price Index,408,201903,M,DT_40803_N0005,연령별 매매가격지수,2017.11 ＝ 100.0,2017.11 ＝ 100.0
89,01,아파트,Apartments,주택유형,Region,a3,5대광역시,5 Large Cities,지역,Region,05,연령5,Age5,건축연령,Region,97.74377884,sales,매매가격,Sales Price Index,408,201903,M,DT_40803_N0005,연령별 매매가격지수,2017.11 ＝ 100.0,2017.11 ＝ 100.0
90,01,아파트,Apartments,주택유형,Region,a4,8개도,8 Provinces,지역,Region,01,연령1,Age1,건축연령,Region,96.24345858,sales,매매가격,Sales Price Index,408,201903,M,DT_40803_N0005,연령별 매매가격지수,2017.11 ＝ 100.0,2017.11 ＝ 100.0
91,01,아파트,Apartments,주택유형,Region,a4,8개도,8 Provinces,지역,Region,02,연령2,Age2,건축연령,Region,95.05494414,sales,매매가격,Sales Price Index,408,201903,M,DT_40803_N0005,연령별 매매가격지수,2017.11 ＝ 100.0,2017.11 ＝ 100.0
92,01,아파트,Apartments,주택유형,Region,a4,8개도,8 Provinces,지역,Region,03,연령3,Age3,건축연령,Region,93.06092483,sales,매매가격,Sales Price Index,408,201903,M,DT_40803_N0005,연령별 매매가격지수,2017.11 ＝ 100.0,2017.11 ＝ 100.0
93,01,아파트,Apartments,주택유형,Region,a4,8개도,8 Provinces,지역,Region,04,연령4,Age4,건축연령,Region,92.63827787,sales,매매가격,Sales Price Index,408,201903,M,DT_40803_N0005,연령별 매매가격지수,2017.11 ＝ 100.0,2017.11 ＝ 100.0
94,01,아파트,Apartments,주택유형,Region,a4,8개도,8 Provinces,지역,Region,05,연령5,Age5,건축연령,Region,92.90419132,sales,매매가격,Sales Price Index,408,201903,M,DT_40803_N0005,연령별 매매가격지수,2017.11 ＝ 100.0,2017.11 ＝ 100.0
